recipe_title,item_name,qty,unit
番茄炒鸡蛋,Tomato,2,pcs
番茄炒鸡蛋,Egg,3,pcs
番茄炒鸡蛋,Salt,2,grams
番茄炒鸡蛋,White pepper,1,grams
番茄炒鸡蛋,Vegetable oil,10,ml
蚝油生菜,Baby spinach,150,grams
蚝油生菜,Oyster sauce,15,ml
蚝油生菜,Garlic clove,2,pcs
蚝油生菜,Olive oil,10,ml
土豆咖喱鸡,Potato,2,pcs
土豆咖喱鸡,Chicken thigh,300,grams
土豆咖喱鸡,Curry powder,8,grams
土豆咖喱鸡,Light soy sauce,10,ml
土豆咖喱鸡,Coconut milk canned,200,ml
酱爆茄子,Zucchini,1,pcs
酱爆茄子,Garlic clove,2,pcs
酱爆茄子,Dark soy sauce,10,ml
酱爆茄子,Vegetable oil,15,ml
回锅肉,Pork belly,250,grams
回锅肉,Doubanjiang,15,grams
回锅肉,Light soy sauce,10,ml
回锅肉,Capsicum red,1,pcs
回锅肉,White pepper,2,grams
红烧牛腩面,Beef mince,400,grams
红烧牛腩面,Dark soy sauce,15,ml
红烧牛腩面,Long-grain rice,100,grams
红烧牛腩面,Carrot,1,pcs
红烧牛腩面,Chicken stock cube,1,pcs
Spaghetti Bolognese,Spaghetti,180,grams
Spaghetti Bolognese,Tomato,3,pcs
Spaghetti Bolognese,Beef mince,250,grams
Spaghetti Bolognese,Onion brown,1,pcs
Spaghetti Bolognese,Italian herb mix,5,grams
Creamy Mushroom Pasta,Penne pasta,160,grams
Creamy Mushroom Pasta,Mushroom button,120,grams
Creamy Mushroom Pasta,Milk,100,ml
Creamy Mushroom Pasta,Butter unsalted,20,grams
Chicken Quesadilla,Tortilla wrap,2,pcs
Chicken Quesadilla,Chicken thigh,150,grams
Chicken Quesadilla,Cheddar cheese,80,grams
Chicken Quesadilla,BBQ sauce,15,ml
Avocado Toast,Bread slice,2,pcs
Avocado Toast,Avocado,1,pcs
Avocado Toast,Egg,1,pcs
Avocado Toast,Salt,2,grams
Garlic Butter Salmon,Salmon fillet,200,grams
Garlic Butter Salmon,Butter unsalted,15,grams
Garlic Butter Salmon,Garlic clove,2,pcs
One-Pan Sausage & Veg,Sausage,200,grams
One-Pan Sausage & Veg,Potato,1,pcs
One-Pan Sausage & Veg,Broccoli floret,120,grams
One-Pan Sausage & Veg,Olive oil,20,ml
